Region,Node Name,Uplink,Trunk,OM,SIP,HSI,IPOE,H248,RTP,AG1,AG2,Auth IP,UnAuth IP,OM VCID,SIP VCID,HSI VCID,HSI AGG,HSI Interface,BNG,BNG Port,HSI VSI,SIP IP,SIP AGG,SIP Interface,SIP VSI
VIS,ILO_156_VDB_01,ILO-156-VIS2592-ATN910C-01,Eth-Trunk4||GE0/2/13|GE0/2/14,2982,713,2985,400,-,-,10.168.56.204,10.175.77.9,100.70.67.0/24,100.113.144.128/26,25004162|26004162,25004163|26004163,25004164|26004164,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.2985,JMB_BNG-001,ET-5/3/0,HSI-2985,100.94.192.0/20,FORDBC-FMAGG-001-VIS817,VE1/0/0.713,SIP-80000713
VIS,ILO_159_GPONA_01,ILO-159-VIS2623-ATN910C-01,Eth-Trunk4||GE0/2/7(10G),3759,3102,3129,400,-,-,10.175.77.9,-,10.54.8.0/22,10.73.130.0/24,25006301,25006302,25006303,JMBASA-VIS927-AGGFMN-X16A-02,100GE3/0/0.3129,JMB_BNG-001,ET-5/3/0,HSI-3129,10.193.160.0/19,FORDBC-FMAGG-002-VIS817,VE1/0/0.3102,SIP-80003102
VIS,ILO_160_VDB_01,ILO-160-VIS2264-ATN910C-01,Eth-Trunk3||GE0/2/13|GE0/2/14,3189,1806,3133,400,-,-,10.81.25.15,10.81.25.17,100.70.93.0/24,100.113.151.0/26,25003769|26003769,25003770|26003770,25003771|26003771,JMBASA-FMAGG-001-VIS927,100GE2/0/15.3133,ILO_JMB_CGN_002_IPOE,ET-1/0/2,HSI-3133,100.114.160.0/20,FORDBC-FMAGG-002-VIS817,VE1/0/0.1806,SIP-1806
VIS,ILO_161_VDB_01,ILO-161-VIS3184-ATN910C-01,Eth-Trunk5||GE0/2/13|GE0/2/14,3084,3781,890,400,-,-,10.175.77.9,-,100.70.171.0/26,100.113.170.128/28,25004538,25004539,25004540,"JMBASA-VIS927-AGGFMN-X16A-01
LAHUG-VIS148-AGGFMN-X16A-01","100GE4/0/0.890
100GE2/1/0.890","JMB_BNG-001
LHG_BNG-002","ET-10/1/0
ET-10/3/0","HSI-890
HSI-890",100.88.96.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3781,SIP-80003781
VIS,ILO_301_GPONA_01,ILO_301_TDCAN_T910D_01_VIS4372,Eth-Trunk7||GE0/2/3(10G),1679,1700,101,400,-,-,10.175.77.10,10.175.77.70,10.197.240.0/20,10.202.20.0/22,25010178|26010178,25010179|26010179,25010180|26010180,JMBASA-VIS927-AGGFMN-X16A-01,100GE4/0/0.101,JMB_BNG-001,ET-10/1/0,HSI-80000101,10.208.96.0/19,JMBASA-FMAGG-002-VIS927,VE1/0/0.1700,SIP-80001700
VIS,ILO_317_HYB_01,ILO-118-VIS3005-ATN910C-01,Eth-Trunk6||GE0/2/4(10G),1800,3267,128,-,-,-,10.175.77.9,-,-,-,25008824,25008825,25008826,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.128
100GE2/1/0.128","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-128
HSI-128",10.192.160.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3267,SIP-80003267
VIS,ILO_317_VDB_01,ILO-118-VIS3005-ATN910C-01,Eth-Trunk7||GE0/2/15|GE0/2/16,1800,3102,128,-,-,-,10.175.77.9,-,-,-,25008827,25008828,25008829,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.128
100GE2/1/0.128","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-128
HSI-128",10.193.160.0/19,FORDBC-FMAGG-002-VIS817,VE1/0/0.3102,SIP-80003102
VIS,ILO_701_GPONA_01,ILO-701-VIS1969-ATN910C-01,Eth-Trunk5||GE0/2/6(10G),-,3297,2029,400,-,-,10.81.25.15,10.81.25.17,10.54.52.0/22,10.73.141.0/24,-,25006086|26006086,25006087|26006087,"JMBASA-FMAGG-002-VIS927
LAHUG-VIS148-AGGFMN-X16A-01","100GE2/0/16.2029
100GE2/1/0.2029","ILO_JMB_CGN_002_IPOE
LHG_BNG-002","ET-11/1/2
ET-5/1/0","HSI-2029
HSI-2029",10.192.32.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3297,SIP-80003297
VIS,ILO_701_HYB_01,ILO-701-VIS1969-ATN910C-01,Eth-Trunk4||GE0/2/4(10G)|GE0/2/5(10G),3183,3070,2029,400,-,-,10.81.25.15,10.81.25.17,100.69.244.0/23,100.113.125.0/25,25003831|26003831,25003832|26003832,25003833|26003833,"JMBASA-FMAGG-002-VIS927
LAHUG-VIS148-AGGFMN-X16A-01","100GE2/0/16.2029
100GE2/1/0.2029","ILO_JMB_CGN_002_IPOE
LHG_BNG-002","ET-11/1/2
ET-5/1/0","HSI-2029
HSI-2029",100.125.184.0/21,FORDBC-FMAGG-002-VIS817,VE1/0/0.3070,SIP-80003070
VIS,ILO_703_GPONA_01,ILO-703-VIS1971-ATN910C-01,Eth-Trunk4||GE0/2/3(10G),3768,3281,2034,400,-,-,10.175.77.69,10.175.77.70,10.54.144.0/22,10.73.164.0/24,25006804|26006804,25006806|26006806,25006805|26006805,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.2034
100GE2/1/0.2034","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-2034
HSI-2034",100.127.160.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3281,SIP-80003281
VIS,ILO_703_GPONA_02,ILO-703-VIS1971-ATN910C-01,Eth-Trunk5||GE0/2/5(10G),3759,3267,2034,400,-,-,10.175.77.69,10.175.77.70,10.54.28.0/22,10.73.135.0/24,25006284|26006284,25006285|26006285,25006286|26006286,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.2034
100GE2/1/0.2034","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-2034
HSI-2034",10.192.160.0/19,FORDBC-FMAGG-001-VIS817,VE1/0/0.3267,SIP-80003267
VIS,ILO_704_HYB_01,ILO-704-VIS1972-ATN910C-01,Eth-Trunk4||GE0/2/4(10G)|GE0/2/5(10G),3185,477,2034,400,-,-,10.175.77.69,10.175.77.70,100.69.78.0/23,100.113.83.128/25,25005988|26005988,25005990|26005990,25005989|26005989,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.2034
100GE2/1/0.2034","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-2034
HSI-2034",100.106.0.0/22,LAHUG1-FMAGG-001-VIS148,VE1/0/0.477,SIP-477
VIS,ILO_710_GPONA_01,ILO-710-VIS1976-ATN910C-01,Eth-Trunk4||GE0/2/6(10G),3756,1817,2034,400,-,-,10.175.77.70,10.175.77.69,10.158.116.0/22,10.198.29.0/24,25007655|26007655,25007656|26007656,25007657|26007657,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.2034
100GE2/1/0.2034","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-2034
HSI-2034",100.93.40.0/23,FORDBC-FMAGG-001-VIS817,VE1/0/0.1817,SIP-80001817
VIS,ILO_710_GPONA_02,ILO-710-VIS1976-ATN910C-01,Eth-Trunk5||GE0/2/3(10G),1794,1832,2034,400,-,-,10.175.77.70,10.175.77.69,10.9.112.0/22,10.223.250.0/24,25008136|26008136,25008137|26008137,25008138|26008138,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.2034
100GE2/1/0.2034","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-2034
HSI-2034",100.93.198.0/23,FORDBC-FMAGG-002-VIS817,VE1/0/0.1832,SIP-80001832
VIS,ILO_710_HYB_01,ILO-710-VIS1976-ATN910C-01,Eth-Trunk3||GE0/2/4(10G)|GE0/2/5(10G),3084,477,2034,400,-,-,10.175.77.70,10.175.77.69,10.227.148.0/22,10.202.189.0/24,25005965|26005965,25005967|26005967,25005966|26005966,"JMBASA-VIS927-AGGFMN-X16A-02
LAHUG-VIS148-AGGFMN-X16A-01","100GE3/0/0.2034
100GE2/1/0.2034","JMB_BNG-001
LHG_BNG-002","ET-5/3/0
ET-5/1/0","HSI-2034
HSI-2034",100.106.0.0/22,LAHUG1-FMAGG-001-VIS148,VE1/0/0.477,SIP-477
